WMO_ID,NAME,PROPINSI_NAME,KABUPATEN_NAME,CURRENT_LATITUDE,CURRENT_LONGITUDE,CURRENT_ELEVATION_M
96001,Stasiun Meteorologi Maimun Saleh,Nanggroe Aceh Darussalam,Kota Sabang,5.87655,95.33785,126
96003,Balai Besar Meteorologi Klimatologi dan Geofisika Wilayah III,Bali,Kab. Badung,-8.7381,115.1786,0
96009,Stasiun Meteorologi Malikussaleh,Nanggroe Aceh Darussalam,Kab. Aceh Utara,5.22869,96.94749,28
96011,Stasiun Meteorologi Sultan Iskandar Muda,Nanggroe Aceh Darussalam,Kab. Aceh Besar,5.52244,95.417,20
96013,Stasiun Geofisika Aceh Besar,Nanggroe Aceh Darussalam,Kab. Aceh Besar,5.496,95.296,32
96015,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,Nanggroe Aceh Darussalam,Kab. Nagan Raya,4.04928,96.24796,3
96017,Stasiun Klimatologi Aceh,Nanggroe Aceh Darussalam,Kab. Aceh Besar,5.404,95.464,40
96031,Stasiun Klimatologi Sumatera Utara,Sumatera Utara,Kab. Deli Serdang,3.62114,98.71485,25
96033,Stasiun Meteorologi Maritim Belawan,Sumatera Utara,Kota Medan,3.78824,98.71492,3
96035,Stasiun Meteorologi Kualanamu,Sumatera Utara,Kab. Deli Serdang,3.64573,98.88488,23
96037,Stasiun Geofisika Deli Serdang,Sumatera Utara,Kab. Deli Serdang,3.501,98.56,86
96039,Stasiun Geofisika Aceh Selatan,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,3.17333,97.28637,2
96041,Balai Besar Meteorologi Klimatologi dan Geofisika Wilayah I,Sumatera Utara,Kota Medan,3.5397,98.64,0
96043,Stasiun Meteorologi Silangit,Sumatera Utara,Kab. Tapanuli Utara,2.26136,98.99357,1420
96071,Stasiun Meteorologi Aek Godang,Sumatera Utara,Kab. Padang Lawas Utara,1.55,99.45,281
96073,Stasiun Meteorologi FL Tobing,Sumatera Utara,Kab. Tapanuli Tengah,1.55,98.88,10
96075,Stasiun Meteorologi Binaka,Sumatera Utara,Kab. Nias,1.1649,97.7036,7
96077,Stasiun Geofisika Gunungsitoli,Sumatera Utara,Kab. Nias,1.3,97.58,175
96087,Stasiun Meteorologi Hang Nadim,Kep. Riau,Kota Batam,1.11667,104.11667,26
96089,Stasiun Meteorologi Raja Haji Abdullah,Kep. Riau,Kab. Karimun,1.03,103.38,1
96091,Stasiun Meteorologi Raja Haji Fisabilillah,Kep. Riau,Kota Tanjung Pinang,0.9227,104.5289,15
96107,Stasiun Klimatologi Riau,Riau,Kab. Kampar,0.407,101.217,15
96109,Stasiun Meteorologi Sultan Syarif Kasim II,Riau,Kota Pekanbaru,0.45924,101.44743,39
96145,Stasiun Meteorologi Tarempa,Kep. Riau,Kab. Kepulauan Anambas,3.2,106.25,2
96147,Stasiun Meteorologi Ranai,Kep. Riau,Kab. Natuna,3.91206,108.39,2
96161,Stasiun Meteorologi Maritim Teluk Bayur,Sumatera Barat,Kota Padang,-0.99639,100.37222,2
96163,Stasiun Meteorologi Minangkabau,Sumatera Barat,Kab. Padang Pariaman,-0.79355,100.28917,6
96165,Stasiun Geofisika Padang Panjang,Sumatera Barat,Kota Padang Panjang,-0.4663,100.3797,735
96167,Stasiun Klimatologi Sumatera Barat,Sumatera Barat,Kab. Padang Pariaman,-0.54549,100.29786,128
96169,Stasiun Pemantau Atmosfer Global Bukit Koto Tabang,Sumatera Barat,Kab. Agam,-0.2505,100.3823,895
96171,Stasiun Meteorologi Japura,Riau,Kab. Indragiri Hulu,-0.33,102.32,19
96179,Stasiun Meteorologi Dabo,Kep. Riau,Kab. Lingga,-0.48,104.58,29
96191,Stasiun Klimatologi Jambi,Jambi,Kab. Muaro Jambi,-1.6019,103.48444,24
96195,Stasiun Meteorologi Sultan Thaha,Jambi,Kota Jambi,-1.63368,103.64,26
96207,Stasiun Meteorologi Depati Parbo,Jambi,Kab. Kerinci,-2.083,101.45,782
96221,Stasiun Meteorologi Sultan Mahmud Badaruddin II,Sumatera Selatan,Kota Palembang,-2.89468,104.70129,10
96223,Stasiun Klimatologi Sumatera Selatan,Sumatera Selatan,Kota Palembang,-2.92732,104.77197,11
96225,Taman Alat Digital Stasiun Klimatologi Sumsel,Sumatera Selatan,Kota Palembang,3.0156,104.43,4
96237,Stasiun Meteorologi Depati Amir,Kep. Bangka Belitung,Kota Pangkal Pinang,-2.17,106.13,0
96239,Stasiun Klimatologi Bangka Belitung,Kep. Bangka Belitung,Kab. Bangka Tengah,-2.518,106.422,6
96247,Stasiun Geofisika Tanjung Pandan,Kep. Bangka Belitung,Kab. Belitung,-2.7575,107.65,22
96249,Stasiun Meteorologi H. AS. Hanandjoeddin,Kep. Bangka Belitung,Kab. Belitung,-2.75,107.75,50
96253,Stasiun Meteorologi Fatmawati Soekarno,Bengkulu,Kota Bengkulu,-3.8582,102.3367,24
96255,Stasiun Klimatologi Bengkulu,Bengkulu,Kota Bengkulu,-3.8652,102.3119,12
96257,Stasiun Geofisika Kepahiang,Bengkulu,Kab. Kepahiang,-3.55,102.589,517
96291,Stasiun Klimatologi Lampung,Lampung,Kab. Pesawaran,-5.17236,105.18,71
96293,Stasiun Meteorologi Maritim Panjang,Lampung,Kota Bandar Lampung,-5.4721,105.321,7
96295,Stasiun Meteorologi Radin Inten II,Lampung,Kab. Lampung Selatan,-5.16,105.11,85
96297,Stasiun Geofisika Lampung Utara,Lampung,Kab. Lampung Utara,-4.83631,104.87,60
96503,Stasiun Meteorologi Nunukan,Kalimantan Utara,Kab. Nunukan,4.13,117.67,8
96505,Stasiun Meteorologi Yuvai Semaring,Kalimantan Utara,Kab. Nunukan,3.86,115.68,1090
96509,Stasiun Meteorologi Juwata,Kalimantan Utara,Kota Tarakan,3.33,117.57,6
96525,Stasiun Meteorologi Tanjung Harapan,Kalimantan Utara,Kab. Bulungan,2.5,117.22,3
96529,Stasiun Meteorologi Kalimarau,Kalimantan Timur,Kab. Berau,2.14562,117.43375,13
96535,Stasiun Meteorologi Paloh,Kalimantan Barat,Kab. Sambas,1.74,109.3,15
96557,Stasiun Meteorologi Nangapinoh,Kalimantan Barat,Kab. Melawi,-0.42,111.47,40
96559,Stasiun Meteorologi Tebelian,Kalimantan Barat,Kab. Sintang,0.06,111.47,31
96565,Stasiun Meteorologi Pangsuma,Kalimantan Barat,Kab. Kapuas Hulu,0.84,112.93,43
96581,Stasiun Meteorologi Supadio,Kalimantan Barat,Kab. Kubu Raya,-0.14206,109.45,3
96583,Stasiun Klimatologi Kalimantan Barat,Kalimantan Barat,Kab. Mempawah,0.075,109.19,2
96585,Stasiun Meteorologi Maritim Pontianak,Kalimantan Barat,Kota Pontianak,-0.03,109.34,4
