time,Year,Month,dmi
1981-01-01,1981.0,1,-0.201
1981-02-01,1981.0,2,-0.024
1981-03-01,1981.0,3,0.027
1981-04-01,1981.0,4,0.092
1981-05-01,1981.0,5,-0.018
1981-06-01,1981.0,6,-0.24
1981-07-01,1981.0,7,-0.56
1981-08-01,1981.0,8,-0.628
1981-09-01,1981.0,9,-0.757
1981-10-01,1981.0,10,-0.606
1981-11-01,1981.0,11,-0.328
1981-12-01,1981.0,12,-0.019
1982-01-01,1982.0,1,0.144
1982-02-01,1982.0,2,0.166
1982-03-01,1982.0,3,0.054
1982-04-01,1982.0,4,0.119
1982-05-01,1982.0,5,0.223
1982-06-01,1982.0,6,0.255
1982-07-01,1982.0,7,0.265
1982-08-01,1982.0,8,0.256
1982-09-01,1982.0,9,0.442
1982-10-01,1982.0,10,0.623
1982-11-01,1982.0,11,0.284
1982-12-01,1982.0,12,-0.162
1983-01-01,1983.0,1,-0.482
1983-02-01,1983.0,2,-0.587
1983-03-01,1983.0,3,-0.752
1983-04-01,1983.0,4,-0.556
1983-05-01,1983.0,5,-0.059
1983-06-01,1983.0,6,0.371
1983-07-01,1983.0,7,0.525
1983-08-01,1983.0,8,0.345
1983-09-01,1983.0,9,-0.069
1983-10-01,1983.0,10,-0.288
1983-11-01,1983.0,11,-0.343
1983-12-01,1983.0,12,-0.101
1984-01-01,1984.0,1,-0.223
1984-02-01,1984.0,2,-0.149
1984-03-01,1984.0,3,-0.122
1984-04-01,1984.0,4,0.05
1984-05-01,1984.0,5,-0.305
1984-06-01,1984.0,6,-0.357
1984-07-01,1984.0,7,-0.366
1984-08-01,1984.0,8,-0.498
1984-09-01,1984.0,9,-0.608
1984-10-01,1984.0,10,-0.654
1984-11-01,1984.0,11,-0.418
1984-12-01,1984.0,12,-0.278
1985-01-01,1985.0,1,-0.466
1985-02-01,1985.0,2,-0.627
1985-03-01,1985.0,3,-0.541
1985-04-01,1985.0,4,-0.2
1985-05-01,1985.0,5,-0.223
1985-06-01,1985.0,6,-0.629
1985-07-01,1985.0,7,-0.403
1985-08-01,1985.0,8,-0.459
1985-09-01,1985.0,9,-0.238
1985-10-01,1985.0,10,-0.498
1985-11-01,1985.0,11,0.074
1985-12-01,1985.0,12,-0.417
1986-01-01,1986.0,1,-0.113
1986-02-01,1986.0,2,-0.135
1986-03-01,1986.0,3,-0.2
1986-04-01,1986.0,4,-0.286
1986-05-01,1986.0,5,-0.154
1986-06-01,1986.0,6,-0.278
1986-07-01,1986.0,7,-0.546
1986-08-01,1986.0,8,-0.401
1986-09-01,1986.0,9,-0.142
1986-10-01,1986.0,10,-0.048
1986-11-01,1986.0,11,-0.244
1986-12-01,1986.0,12,-0.274
1987-01-01,1987.0,1,-0.081
1987-02-01,1987.0,2,0.041
1987-03-01,1987.0,3,-0.137
1987-04-01,1987.0,4,-0.157
1987-05-01,1987.0,5,0.165
1987-06-01,1987.0,6,0.109
1987-07-01,1987.0,7,0.207
1987-08-01,1987.0,8,0.297
1987-09-01,1987.0,9,0.393
1987-10-01,1987.0,10,0.255
1987-11-01,1987.0,11,-0.051
1987-12-01,1987.0,12,0.152
1988-01-01,1988.0,1,0.353
1988-02-01,1988.0,2,-0.154
1988-03-01,1988.0,3,-0.313
1988-04-01,1988.0,4,-0.128
1988-05-01,1988.0,5,-0.513
1988-06-01,1988.0,6,-0.272
1988-07-01,1988.0,7,-0.15
1988-08-01,1988.0,8,-0.289
1988-09-01,1988.0,9,-0.394
1988-10-01,1988.0,10,-0.525
1988-11-01,1988.0,11,-0.183
1988-12-01,1988.0,12,0.156
1989-01-01,1989.0,1,-0.281
1989-02-01,1989.0,2,-0.045
1989-03-01,1989.0,3,-0.319
1989-04-01,1989.0,4,-0.48
1989-05-01,1989.0,5,-0.594
1989-06-01,1989.0,6,-0.78
1989-07-01,1989.0,7,-0.447
1989-08-01,1989.0,8,-0.321
1989-09-01,1989.0,9,-0.225
1989-10-01,1989.0,10,-0.412
1989-11-01,1989.0,11,-0.338
1989-12-01,1989.0,12,-0.167
1990-01-01,1990.0,1,-0.099
1990-02-01,1990.0,2,-0.289
1990-03-01,1990.0,3,-0.143
1990-04-01,1990.0,4,-0.385
1990-05-01,1990.0,5,-0.348
1990-06-01,1990.0,6,-0.568
1990-07-01,1990.0,7,-0.246
1990-08-01,1990.0,8,-0.392
1990-09-01,1990.0,9,-0.183
1990-10-01,1990.0,10,-0.345
1990-11-01,1990.0,11,-0.094
1990-12-01,1990.0,12,0.003
1991-01-01,1991.0,1,0.065
1991-02-01,1991.0,2,-0.097
1991-03-01,1991.0,3,-0.037
1991-04-01,1991.0,4,0.289
1991-05-01,1991.0,5,0.379
1991-06-01,1991.0,6,0.263
1991-07-01,1991.0,7,0.27
1991-08-01,1991.0,8,0.058
1991-09-01,1991.0,9,0.099
1991-10-01,1991.0,10,-0.03
1991-11-01,1991.0,11,0.04
1991-12-01,1991.0,12,0.084
1992-01-01,1992.0,1,-0.321
1992-02-01,1992.0,2,-0.389
1992-03-01,1992.0,3,-0.671
1992-04-01,1992.0,4,-0.553
1992-05-01,1992.0,5,-0.549
1992-06-01,1992.0,6,-0.861
1992-07-01,1992.0,7,-0.479
1992-08-01,1992.0,8,-0.768
