time,Year,Month,nino34
1981-01-01,1981.0,1,26.18
1981-02-01,1981.0,2,26.11
1981-03-01,1981.0,3,26.64
1981-04-01,1981.0,4,27.29
1981-05-01,1981.0,5,27.36
1981-06-01,1981.0,6,27.27
1981-07-01,1981.0,7,26.65
1981-08-01,1981.0,8,26.33
1981-09-01,1981.0,9,26.53
1981-10-01,1981.0,10,26.42
1981-11-01,1981.0,11,26.29
1981-12-01,1981.0,12,26.4
1982-01-01,1982.0,1,26.67
1982-02-01,1982.0,2,26.59
1982-03-01,1982.0,3,27.41
1982-04-01,1982.0,4,28.03
1982-05-01,1982.0,5,28.39
1982-06-01,1982.0,6,28.26
1982-07-01,1982.0,7,27.66
1982-08-01,1982.0,8,27.58
1982-09-01,1982.0,9,28.21
1982-10-01,1982.0,10,28.71
1982-11-01,1982.0,11,28.62
1982-12-01,1982.0,12,28.8
1983-01-01,1983.0,1,28.89
1983-02-01,1983.0,2,28.69
1983-03-01,1983.0,3,28.66
1983-04-01,1983.0,4,28.77
1983-05-01,1983.0,5,28.84
1983-06-01,1983.0,6,28.27
1983-07-01,1983.0,7,27.18
1983-08-01,1983.0,8,26.59
1983-09-01,1983.0,9,26.2
1983-10-01,1983.0,10,25.56
1983-11-01,1983.0,11,25.41
1983-12-01,1983.0,12,25.57
1984-01-01,1984.0,1,25.88
1984-02-01,1984.0,2,26.56
1984-03-01,1984.0,3,26.77
1984-04-01,1984.0,4,27.14
1984-05-01,1984.0,5,27.2
1984-06-01,1984.0,6,26.83
1984-07-01,1984.0,7,26.79
1984-08-01,1984.0,8,26.61
1984-09-01,1984.0,9,26.38
1984-10-01,1984.0,10,26.04
1984-11-01,1984.0,11,25.52
1984-12-01,1984.0,12,25.25
1985-01-01,1985.0,1,25.38
1985-02-01,1985.0,2,26.03
1985-03-01,1985.0,3,26.5
1985-04-01,1985.0,4,26.64
1985-05-01,1985.0,5,26.9
1985-06-01,1985.0,6,26.81
1985-07-01,1985.0,7,26.56
1985-08-01,1985.0,8,26.3
1985-09-01,1985.0,9,26.02
1985-10-01,1985.0,10,26.23
1985-11-01,1985.0,11,26.33
1985-12-01,1985.0,12,26.19
1986-01-01,1986.0,1,25.89
1986-02-01,1986.0,2,26.05
1986-03-01,1986.0,3,26.87
1986-04-01,1986.0,4,27.49
1986-05-01,1986.0,5,27.4
1986-06-01,1986.0,6,27.42
1986-07-01,1986.0,7,27.18
1986-08-01,1986.0,8,27.17
1986-09-01,1986.0,9,27.24
1986-10-01,1986.0,10,27.53
1986-11-01,1986.0,11,27.71
1986-12-01,1986.0,12,27.72
1987-01-01,1987.0,1,27.68
1987-02-01,1987.0,2,27.88
1987-03-01,1987.0,3,28.27
1987-04-01,1987.0,4,28.39
1987-05-01,1987.0,5,28.56
1987-06-01,1987.0,6,28.65
1987-07-01,1987.0,7,28.59
1987-08-01,1987.0,8,28.42
1987-09-01,1987.0,9,28.36
1987-10-01,1987.0,10,27.96
1987-11-01,1987.0,11,27.77
1987-12-01,1987.0,12,27.54
1988-01-01,1988.0,1,27.45
1988-02-01,1988.0,2,27.03
1988-03-01,1988.0,3,27.38
1988-04-01,1988.0,4,27.38
1988-05-01,1988.0,5,26.68
1988-06-01,1988.0,6,25.99
1988-07-01,1988.0,7,25.56
1988-08-01,1988.0,8,25.66
1988-09-01,1988.0,9,25.72
1988-10-01,1988.0,10,24.82
1988-11-01,1988.0,11,24.65
1988-12-01,1988.0,12,24.63
1989-01-01,1989.0,1,24.58
1989-02-01,1989.0,2,25.28
1989-03-01,1989.0,3,26.08
1989-04-01,1989.0,4,26.74
1989-05-01,1989.0,5,27.06
1989-06-01,1989.0,6,27.14
1989-07-01,1989.0,7,26.72
1989-08-01,1989.0,8,26.33
1989-09-01,1989.0,9,26.42
1989-10-01,1989.0,10,26.32
1989-11-01,1989.0,11,26.25
1989-12-01,1989.0,12,26.46
1990-01-01,1990.0,1,26.56
1990-02-01,1990.0,2,26.96
1990-03-01,1990.0,3,27.33
1990-04-01,1990.0,4,27.9
1990-05-01,1990.0,5,28.02
1990-06-01,1990.0,6,27.64
1990-07-01,1990.0,7,27.38
1990-08-01,1990.0,8,27.07
1990-09-01,1990.0,9,26.94
1990-10-01,1990.0,10,26.93
1990-11-01,1990.0,11,26.81
1990-12-01,1990.0,12,26.95
1991-01-01,1991.0,1,27.03
1991-02-01,1991.0,2,27.07
1991-03-01,1991.0,3,27.32
1991-04-01,1991.0,4,28.01
1991-05-01,1991.0,5,28.2
1991-06-01,1991.0,6,28.25
1991-07-01,1991.0,7,28.05
1991-08-01,1991.0,8,27.53
1991-09-01,1991.0,9,27.14
1991-10-01,1991.0,10,27.58
1991-11-01,1991.0,11,27.9
1991-12-01,1991.0,12,28.29
1992-01-01,1992.0,1,28.38
1992-02-01,1992.0,2,28.53
1992-03-01,1992.0,3,28.66
1992-04-01,1992.0,4,29.02
1992-05-01,1992.0,5,28.98
1992-06-01,1992.0,6,28.3
1992-07-01,1992.0,7,27.51
1992-08-01,1992.0,8,26.91
1992-09-01,1992.0,9,26.65
1992-10-01,1992.0,10,26.42
1992-11-01,1992.0,11,26.42
1992-12-01,1992.0,12,26.44
1993-01-01,1993.0,1,26.69
1993-02-01,1993.0,2,27.16
1993-03-01,1993.0,3,27.67
1993-04-01,1993.0,4,28.41
1993-05-01,1993.0,5,28.71
1993-06-01,1993.0,6,28.08
1993-07-01,1993.0,7,27.52
1993-08-01,1993.0,8,26.99
1993-09-01,1993.0,9,27.07
1993-10-01,1993.0,10,26.77
1993-11-01,1993.0,11,26.71
1993-12-01,1993.0,12,26.76
1994-01-01,1994.0,1,26.64
1994-02-01,1994.0,2,26.81
1994-03-01,1994.0,3,27.39
1994-04-01,1994.0,4,28.08
1994-05-01,1994.0,5,28.24
1994-06-01,1994.0,6,28.04
1994-07-01,1994.0,7,27.54
1994-08-01,1994.0,8,27.38
1994-09-01,1994.0,9,27.2
1994-10-01,1994.0,10,27.47
1994-11-01,1994.0,11,27.81
1994-12-01,1994.0,12,27.85
1995-01-01,1995.0,1,27.57
1995-02-01,1995.0,2,27.49
1995-03-01,1995.0,3,27.75
1995-04-01,1995.0,4,28.1
1995-05-01,1995.0,5,27.82
1995-06-01,1995.0,6,27.59
1995-07-01,1995.0,7,27.08
1995-08-01,1995.0,8,26.23
1995-09-01,1995.0,9,25.88
1995-10-01,1995.0,10,25.84
1995-11-01,1995.0,11,25.6
1995-12-01,1995.0,12,25.65
1996-01-01,1996.0,1,25.69
1996-02-01,1996.0,2,25.89
1996-03-01,1996.0,3,26.67
1996-04-01,1996.0,4,27.35
1996-05-01,1996.0,5,27.55
1996-06-01,1996.0,6,27.29
1996-07-01,1996.0,7,26.85
1996-08-01,1996.0,8,26.64
1996-09-01,1996.0,9,26.27
1996-10-01,1996.0,10,26.27
1996-11-01,1996.0,11,26.29
1996-12-01,1996.0,12,25.95
1997-01-01,1997.0,1,26.01
1997-02-01,1997.0,2,26.38
1997-03-01,1997.0,3,27.04
1997-04-01,1997.0,4,27.98
1997-05-01,1997.0,5,28.58
1997-06-01,1997.0,6,28.82
1997-07-01,1997.0,7,28.86
1997-08-01,1997.0,8,28.75
1997-09-01,1997.0,9,28.85
1997-10-01,1997.0,10,29.08
1997-11-01,1997.0,11,29.12
1997-12-01,1997.0,12,28.89
1998-01-01,1998.0,1,28.93
1998-02-01,1998.0,2,28.78
1998-03-01,1998.0,3,28.62
1998-04-01,1998.0,4,28.6
1998-05-01,1998.0,5,28.51
1998-06-01,1998.0,6,27.34
1998-07-01,1998.0,7,26.3
1998-08-01,1998.0,8,25.57
1998-09-01,1998.0,9,25.46
1998-10-01,1998.0,10,25.25
1998-11-01,1998.0,11,25.24
1998-12-01,1998.0,12,24.91
1999-01-01,1999.0,1,24.86
1999-02-01,1999.0,2,25.43
1999-03-01,1999.0,3,26.33
1999-04-01,1999.0,4,26.7
1999-05-01,1999.0,5,26.79
1999-06-01,1999.0,6,26.53
1999-07-01,1999.0,7,26.13
1999-08-01,1999.0,8,25.63
1999-09-01,1999.0,9,25.63
1999-10-01,1999.0,10,25.48
1999-11-01,1999.0,11,25.12
1999-12-01,1999.0,12,24.86
2000-01-01,2000.0,1,24.78
2000-02-01,2000.0,2,25.21
2000-03-01,2000.0,3,26.3
2000-04-01,2000.0,4,26.95
2000-05-01,2000.0,5,27.07
2000-06-01,2000.0,6,26.94
2000-07-01,2000.0,7,26.63
2000-08-01,2000.0,8,26.37
2000-09-01,2000.0,9,26.2
2000-10-01,2000.0,10,26.02
2000-11-01,2000.0,11,25.92
2000-12-01,2000.0,12,25.68
2001-01-01,2001.0,1,25.81
2001-02-01,2001.0,2,26.12
2001-03-01,2001.0,3,26.8
2001-04-01,2001.0,4,27.33
